BoroCT2010,count
4023600,574
4023800,1062
4024000,1203
4024300,203
4024500,236
4024600,370
4024700,408
4024900,740
4025100,437
4025301,499
4025302,468
4025400,1404
4025500,252
4025700,260
4025800,995
4025900,254
4026000,682
4026100,438
4026200,351
4026300,627
4026400,287
4026500,1052
4026600,437
4026700,1249
4026901,1333
4026902,633
4027000,295
4027100,374
4027200,454
4027300,1020
4027400,264
4027500,659
4027600,298
4027700,756
4027800,655
4027900,488
4028000,340
4028100,505
4028200,446
4028300,913
4028400,2115
4028500,378
4028700,499
4028800,475
4028900,587
4029100,496
4029300,419
4029400,866
4029500,591
4029700,348
4029900,162
4030600,694
4030902,492
4030903,484
4030904,444
4031700,491
4032000,1231
4032700,725
4032800,671
4032900,611
4033000,915
4033100,295
4033401,505
4033402,1412
4033700,581
4033900,514
4034700,642
4035100,956
4035200,1008
4035300,437
4035700,452
4035800,500
4036100,458
4036300,319
4036500,524
4036600,387
4036700,338
4036800,353
4037100,255
4037300,379
4037500,791
4037600,382
4037700,807
4037900,814
4038100,723
4038301,540
4038302,73
4038400,500
4039400,431
4039800,367
4039900,613
4040000,196
4040100,559
4040200,175
4040300,696
4040400,406
4040500,1373
4040700,481
4040900,651
4041100,585
4041300,454
4041400,486
4041500,561
4042400,197
4042600,7
4042700,429
4043200,252
4043400,319
4043701,343
4043702,415
4043900,385
4044000,610
4044301,442
4044302,286
4044400,564
4044601,3408
4044602,1327
4044800,204
4045000,249
4045200,184
4045400,328
4045500,789
4045600,162
4045700,169
4045800,185
4045900,161
4046000,2704
4046100,239
4046200,1566
4046300,248
4046400,122
4046500,698
4046600,312
4046700,902
4046800,670
4046900,686
4047000,565
4047100,466
4047200,205
4047300,406
4047500,667
4047600,80
4047800,250
4047900,344
4048000,451
4048100,449
4048200,468
4048300,470
4048400,459
4048500,413
4048900,285
4049200,539
4049301,164
4049302,412
4049500,154
4049600,545
4049700,251
4049900,208
4050000,417
4050201,308
4050202,222
4050400,232
4050500,213
4050600,231
4050700,111
4050800,350
4051000,240
4051100,152
4051200,436
4051300,192
4051500,209
4051600,233
4051700,266
4051800,244
4052000,213
4052100,234
4052200,176
4052400,277
4052500,342
4052600,293
4052800,326
4053000,423
4053100,494
4053200,237
4053401,295
4053500,337
4053601,196
4053800,264
4053900,334
4054000,597
4054200,389
4054500,509
4054700,528
4054800,298
4054900,625
4055100,834
4055200,213
4055300,536
4055400,253
4055500,398
4055600,277
4055700,561
4055800,184
4055900,220
4056000,361
4056100,67
4056200,91
4056400,284
4056500,293
4056600,344
4056700,247
4056800,506
4057700,401
4057900,297
4058000,355
4058100,539
4058200,292
4058300,347
4058500,404
4058700,476
4058900,627
4059000,241
4059100,516
4059200,153
4059300,299
4059400,135
4059500,591
4059600,227
4059800,188
4059900,149
4060000,108
4060100,278
4060300,359
4060600,156
4060701,18
4060800,260
4061000,123
4061200,93
4061301,572
4061400,139
4061601,129
4061602,241
4061800,289
4061900,274
4062000,137
4062100,404
4062200,189
4062300,253
4062400,22
4062500,148
4062600,390
4062700,203
4062900,272
4063000,274
4063200,240
4063301,111
4063302,167
4063500,261
4063700,541
4063800,513
4063900,310
4064101,151
4064102,193
4064500,164
4064600,246
4065000,218
4065400,593
4065501,18
4065600,600
4065702,172
4065703,243
4065900,81
4066000,859
4066100,93
4066300,96
4066400,286
4066501,152
4066701,158
4066900,166
4067100,128
4067700,152
4067900,329
4068000,369
4068200,223
4068300,3102
4068700,357
4069000,665
4069300,940
4069400,255
4069500,119
4069701,206
4069702,158
4070300,241
4070700,133
4070900,169
4071100,252
4071303,341
4071304,470
4071305,115
4071306,319
4071600,9
4071701,276
4071702,1316
4071900,309
4072100,188
4072300,95
4072900,105
4073100,150
4073700,687
4073900,593
4074100,235
4074300,258
4074500,279
4074700,228
4074900,64
4075701,230
4075702,222
4076901,266
4076902,433
4077300,172
4077500,351
4077902,291
4077903,253
4077904,228
4077905,284
4077906,373
4077907,224
4077908,540
4078800,578
4079000,333
4079200,269
4079300,74
4079701,543
4079702,198
4079900,333
4080301,321
4080302,342
4080900,226
4081400,409
4081800,605
4083700,331
4083800,280
4084000,621
4084500,418
4084601,304
4084602,265
4084900,999
4085300,2486
4085500,327
4085700,339
4085900,287
4086100,230
4086300,400
4086400,58
4086500,900
4086900,892
4087100,1687
4088400,966
4088901,438
4089200,425
4090700,213
4091601,228
4091602,40
4091800,2
4091900,532
4092200,156
4092500,530
4092800,180
4092900,380
4093401,223
4093402,776
4093800,647
4093900,315
4094201,1294
4094202,590
4094203,1122
4094500,615
4094700,469
4095400,1116
4096400,1463
4097202,77
4097203,93
4097204,1499
4097300,173
4098100,153
4098700,212
4099100,219
4099200,1271
4099701,135
4099703,214
4099704,272
4099705,130
4099801,1451
4099802,768
4099900,13
4100801,242
4100802,1023
4101001,1281
4101002,627
4101700,259
4102900,311
4103201,2422
4103202,1362
4103300,229
4103900,426
4104700,323
4105900,139
4107201,287
4107202,16
4108500,200
4109300,190
4109700,181
4109900,126
4111300,122
4112300,452
4112900,103
4113300,105
4113900,312
4114100,145
4114700,107
4115100,39
4115500,218
4115700,209
4115900,226
4116100,525
4116300,446
4116700,347
4117100,329
4117500,226
4118100,201
4118500,329
4118700,179
4118900,124
4119100,216
4119300,97
4119500,56
4119900,122
4120100,101
4120300,167
4120500,115
4120700,111
4121100,19
4121500,320
4122300,261
4122701,486
4122702,1653
4124100,212
4124700,120
4125700,489
4126500,207
4126700,111
4127700,121
4128300,103
4129102,93
4129103,301
4129104,265
4130100,412
4133300,275
4133900,325
4134100,243
4134700,544
4136700,304
4137700,229
4138501,241
4138502,119
4139900,193
4140300,82
4140901,155
4140902,188
4141700,265
4142900,185
4143500,104
4144100,176
4144700,211
4145101,102
4145102,174
4145900,261
4146300,236
4146700,500
4147100,444
4147900,343
4148300,121
4150701,194
4150702,194
4152901,435
4152902,285
4155101,212
4155102,334
4156700,362
4157101,327
4157102,129
4157901,223
4157902,293
4157903,350
4161700,303
4162100,361
5000300,1936
5000600,386
5000700,1211
5000800,401
5000900,655
5001100,1013
5001700,495
5001800,77
5002001,197
5002002,314
5002100,936
5002700,1306
5002900,2034
5003300,413
5003600,388
5003900,158
5004000,2176
5004700,411
5005000,753
5005900,175
5006400,759
5006700,381
5007000,426
5007400,916
5007500,468
5007700,778
5008100,579
5008900,90
5009601,642
5009602,634
5009700,391
5010500,704
5011201,497
5011202,582
5011401,612
5011402,521
5012100,426
5012200,818
5012500,524
5012804,590
5012805,115
5012806,506
5013201,351
5013203,675
5013204,463
5013301,1745
5013302,638
5013400,937
5013800,419
5014100,751
5014604,429
5014605,296
5014606,372
5014607,460
5014608,337
5014700,121
5015100,162
5015400,11
5015601,327
5015602,444
5015603,461
5016901,284
5017005,366
5017007,260
5017008,456
5017009,249
5017010,690
5017011,465
5017012,296
5017300,621
5017600,199
5017700,196
5018100,172
5018701,481
5018702,438
5018901,249
5018902,258
5019700,257
5019800,537
5020100,557
5020700,1906
5020801,1170
5020803,589
5020804,565
5021300,1131
5022300,458
5022600,486
5022800,284
5023100,387
5023900,816
5024401,451
5024402,310
5024700,717
5024800,809
5025100,974
5027301,164
5027302,185
5027702,2160
5027704,383
5027705,363
5027706,1177
5027900,83
5029102,252
5029103,600
5029104,916
5030301,388
5030302,782
5031901,1321
5031902,1664
5032300,224
