BoroCT2010,count
5014604,601
5014605,407
5014606,479
5014607,640
5014608,473
5014700,209
5015100,295
5015400,8
5015601,371
5015602,547
5015603,600
5016901,353
5017005,482
5017007,321
5017008,803
5017009,425
5017010,1014
5017011,581
5017012,376
5017300,740
5017600,330
5017700,283
5018100,239
5018701,689
5018702,665
5018901,353
5018902,437
5019700,313
5019800,791
5020100,755
5020700,1670
5020801,1494
5020803,904
5020804,954
5021300,1228
5022300,427
5022600,456
5022800,348
5023100,419
5023900,923
5024401,668
5024402,482
5024700,836
5024800,903
5025100,568
5027301,197
5027302,237
5027702,2584
5027704,537
5027705,549
5027706,1609
5027900,135
5029102,289
5029103,764
5029104,1274
5030301,461
5030302,812
5031901,1399
5031902,1574
5032300,129
